"","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score"
"1","female","group B","bachelor's degree","standard","none",72,72,74
"2","female","group C","some college","standard","completed",69,90,88
"3","female","group B","master's degree","standard","none",90,95,93
"5","male","group C","some college","standard","none",76,78,75
"6","female","group B","associate's degree","standard","none",71,83,78
"7","female","group B","some college","standard","completed",88,95,92
"11","male","group C","associate's degree","standard","none",58,54,52
"12","male","group D","associate's degree","standard","none",40,52,43
"13","female","group B","high school","standard","none",65,81,73
"14","male","group A","some college","standard","completed",78,72,70
"15","female","group A","master's degree","standard","none",50,53,58
"16","female","group C","some high school","standard","none",69,75,78
"17","male","group C","high school","standard","none",88,89,86
"21","male","group D","high school","standard","none",66,69,63
"23","male","group D","some college","standard","none",44,54,53
"24","female","group C","some high school","standard","none",69,73,73
"27","male","group B","some college","standard","none",69,54,55
"28","female","group C","bachelor's degree","standard","none",67,69,75
"29","male","group C","high school","standard","none",70,70,65
"30","female","group D","master's degree","standard","none",62,70,75
"31","female","group D","some college","standard","none",69,74,74
"32","female","group B","some college","standard","none",63,65,61
"34","male","group D","some college","standard","none",40,42,38
"35","male","group E","some college","standard","none",97,87,82
"36","male","group E","associate's degree","standard","completed",81,81,79
"37","female","group D","associate's degree","standard","none",74,81,83
"42","female","group C","associate's degree","standard","none",58,73,68
"43","female","group B","associate's degree","standard","none",53,58,65
"46","male","group B","associate's degree","standard","none",65,54,57
"47","female","group A","associate's degree","standard","completed",55,65,62
"48","female","group C","high school","standard","none",66,71,76
"50","male","group C","high school","standard","completed",82,84,82
"51","male","group E","some college","standard","none",53,55,48
"53","male","group C","some college","standard","none",53,44,42
"54","male","group D","high school","standard","none",88,78,75
"57","female","group E","associate's degree","standard","completed",82,85,86
"58","male","group D","associate's degree","standard","none",52,55,49
"59","male","group D","some college","standard","completed",58,59,58
"64","female","group C","associate's degree","standard","none",69,80,71
"65","female","group D","some high school","standard","none",59,58,59
"66","male","group B","some high school","standard","none",67,64,61
"68","female","group C","some college","standard","none",60,72,74
"70","female","group C","associate's degree","standard","none",39,64,57
"72","male","group D","some college","standard","completed",63,55,63
"75","male","group C","some high school","standard","none",49,49,41
"77","male","group E","some high school","standard","none",30,26,22
"78","male","group A","bachelor's degree","standard","completed",80,78,81
"79","female","group D","some high school","standard","completed",61,74,72
"80","female","group E","master's degree","standard","none",62,68,68
"81","female","group B","associate's degree","standard","none",47,49,50
"84","male","group E","associate's degree","standard","none",72,64,63
"86","female","group C","some college","standard","none",73,80,82
"88","female","group D","associate's degree","standard","none",71,71,74
"89","female","group A","some college","standard","none",58,70,67
"90","female","group D","some high school","standard","none",73,86,82
"91","female","group C","bachelor's degree","standard","none",65,72,74
"93","male","group C","high school","standard","none",71,79,71
"95","female","group B","some college","standard","none",79,86,92
"97","male","group B","some high school","standard","completed",65,66,62
"98","female","group E","some college","standard","completed",63,72,70
"100","female","group D","bachelor's degree","standard","none",65,67,62
"101","male","group B","some college","standard","none",79,67,67
"102","male","group D","bachelor's degree","standard","completed",68,74,74
"103","female","group D","associate's degree","standard","none",85,91,89
"104","male","group B","high school","standard","completed",60,44,47
"105","male","group C","some college","standard","completed",98,86,90
"106","female","group C","some college","standard","none",58,67,72
"107","female","group D","master's degree","standard","none",87,100,100
"108","male","group E","associate's degree","standard","completed",66,63,64
"110","female","group B","some high school","standard","none",70,64,72
"112","male","group C","high school","standard","none",62,55,49
"113","male","group A","associate's degree","standard","none",54,53,47
"114","female","group D","some college","standard","none",51,58,54
"115","female","group E","bachelor's degree","standard","completed",99,100,100
"116","male","group C","high school","standard","none",84,77,74
"118","female","group D","bachelor's degree","standard","none",78,82,79
"119","female","group D","some high school","standard","none",51,63,61
"120","female","group C","some college","standard","none",55,69,65
"121","female","group C","bachelor's degree","standard","completed",79,92,89
"122","male","group B","associate's degree","standard","completed",91,89,92
"123","female","group C","some college","standard","completed",88,93,93
"125","male","group E","some college","standard","none",83,80,73
"126","female","group B","high school","standard","none",87,95,86
"127","male","group B","some high school","standard","none",72,68,67
"128","male","group D","some college","standard","completed",65,77,74
"129","male","group D","master's degree","standard","none",82,82,74
"130","female","group A","bachelor's degree","standard","none",51,49,51
"131","male","group D","master's degree","standard","none",89,84,82
"134","female","group C","some college","standard","completed",75,81,84
"136","male","group C","bachelor's degree","standard","none",58,55,48
"137","male","group B","some high school","standard","completed",51,54,41
"138","male","group E","high school","standard","none",70,55,56
"139","female","group C","associate's degree","standard","none",59,66,67
"140","male","group D","some college","standard","completed",71,61,69
"141","female","group D","some high school","standard","none",76,72,71
"144","male","group A","high school","standard","none",57,43,47
"145","male","group D","some college","standard","none",88,73,78
"147","male","group B","some high school","standard","none",88,84,75
"149","female","group D","bachelor's degree","standard","completed",68,75,81
"151","male","group A","some high school","standard","completed",62,67,69
"152","male","group A","bachelor's degree","standard","none",77,67,68
"153","female","group B","associate's degree","standard","completed",59,70,66
"154","male","group D","bachelor's degree","standard","none",54,49,47
"155","male","group D","some high school","standard","none",62,67,61
"156","female","group C","some college","standard","completed",70,89,88
"159","female","group B","associate's degree","standard","completed",61,86,87
"164","male","group C","high school","standard","none",52,53,49
"165","female","group E","master's degree","standard","none",81,92,91
"166","female","group C","bachelor's degree","standard","completed",96,100,100
"169","female","group B","high school","standard","completed",68,83,78
"171","male","group A","high school","standard","completed",72,73,74
"172","male","group E","some high school","standard","none",94,88,78
"173","female","group D","some college","standard","none",79,86,81
"174","female","group C","associate's degree","standard","none",63,67,70
"176","female","group C","master's degree","standard","completed",81,91,87
"178","female","group C","associate's degree","standard","completed",71,77,77
"180","female","group D","some high school","standard","completed",97,100,100
"183","female","group E","high school","standard","none",50,50,47
"184","female","group D","associate's degree","standard","none",65,69,70
"187","male","group E","high school","standard","none",80,76,65
"188","male","group D","some high school","standard","completed",62,66,68
"190","female","group C","bachelor's degree","standard","none",77,88,87
"191","female","group E","associate's degree","standard","none",66,65,69
"192","male","group D","some college","standard","completed",76,83,79
"193","female","group B","some high school","standard","none",62,64,66
"194","male","group D","some college","standard","completed",77,62,62
"195","female","group C","master's degree","standard","completed",69,84,85
"196","male","group D","associate's degree","standard","none",61,55,52
"201","female","group C","associate's degree","standard","completed",67,84,86
"203","male","group C","associate's degree","standard","none",69,77,69
"204","female","group B","associate's degree","standard","none",57,69,68
"205","male","group C","some college","standard","none",59,41,42
"206","male","group D","some high school","standard","completed",74,71,78
"207","male","group E","bachelor's degree","standard","none",82,62,62
"208","male","group E","high school","standard","completed",81,80,76
"215","male","group E","high school","standard","completed",87,91,81
"216","male","group B","some high school","standard","completed",84,83,75
"220","male","group B","some high school","standard","completed",61,56,56
"221","female","group D","high school","standard","completed",56,68,74
"222","male","group B","associate's degree","standard","none",87,85,73
"224","male","group D","some high school","standard","none",86,80,75
"225","female","group B","associate's degree","standard","completed",52,66,73
"227","female","group C","some college","standard","none",72,72,71
"228","male","group D","high school","standard","none",57,50,54
"230","female","group C","some college","standard","completed",88,95,94
"231","male","group D","some college","standard","none",76,64,66
"232","male","group C","associate's degree","standard","none",46,43,42
"233","female","group B","bachelor's degree","standard","none",67,86,83
"234","male","group E","some high school","standard","none",92,87,78
"235","male","group C","bachelor's degree","standard","completed",83,82,84
"236","male","group D","associate's degree","standard","none",80,75,77
"238","female","group D","some high school","standard","completed",64,60,74
"239","male","group B","some college","standard","none",54,52,51
"240","male","group C","associate's degree","standard","none",84,80,80
"242","female","group E","bachelor's degree","standard","none",80,83,83
"243","female","group D","high school","standard","none",56,52,55
"244","male","group E","some college","standard","none",59,51,43
"245","male","group D","some high school","standard","none",75,74,69
"246","male","group C","associate's degree","standard","none",85,76,71
"247","male","group E","associate's degree","standard","none",89,76,74
"248","female","group B","high school","standard","completed",58,70,68
"249","female","group B","high school","standard","none",65,64,62
"250","male","group C","high school","standard","none",68,60,53
"251","male","group A","some high school","standard","completed",47,49,49
"253","female","group B","some high school","standard","completed",60,70,70
"254","male","group D","master's degree","standard","none",80,80,72
"255","male","group D","high school","standard","none",54,52,52
"256","female","group E","some college","standard","none",62,73,70
"258","male","group C","associate's degree","standard","completed",78,77,77
"259","female","group B","some college","standard","none",70,75,78
"262","male","group C","some college","standard","completed",79,79,78
"264","female","group E","high school","standard","none",99,93,90
"265","male","group D","high school","standard","none",76,73,68
"267","female","group C","bachelor's degree","standard","none",63,75,81
"268","female","group D","high school","standard","none",69,72,77
"269","female","group D","associate's degree","standard","completed",88,92,95
"271","male","group C","bachelor's degree","standard","none",69,63,61
"272","male","group C","some college","standard","none",58,49,42
"274","female","group D","some college","standard","none",65,70,71
"275","male","group B","some college","standard","completed",88,85,76
"276","male","group C","bachelor's degree","standard","none",83,78,73
"277","female","group C","some high school","standard","completed",85,92,93
"278","female","group E","high school","standard","completed",59,63,75
"281","male","group D","high school","standard","none",53,52,42
"282","male","group D","high school","standard","none",45,48,46
"285","female","group B","some high school","standard","none",37,46,46
"286","male","group B","associate's degree","standard","completed",81,82,82
"287","male","group E","associate's degree","standard","completed",97,82,88
"288","female","group B","some high school","standard","none",67,89,82
"290","male","group E","some high school","standard","completed",77,76,77
"291","male","group C","associate's degree","standard","none",76,70,68
"292","male","group D","some high school","standard","none",86,73,70
"293","male","group C","some high school","standard","completed",63,60,57
"294","female","group E","bachelor's degree","standard","none",65,73,75
"297","male","group A","some high school","standard","completed",46,41,43
"298","male","group E","associate's degree","standard","completed",71,74,68
"303","female","group C","associate's degree","standard","completed",67,84,81
"304","male","group B","associate's degree","standard","none",80,76,64
"305","female","group C","associate's degree","standard","completed",74,75,83
"306","male","group A","some college","standard","none",69,67,69
"307","male","group E","some college","standard","completed",99,87,81
"308","male","group C","some high school","standard","none",51,52,44
"311","female","group B","associate's degree","standard","none",73,76,80
"312","male","group B","bachelor's degree","standard","none",66,60,57
"313","male","group D","bachelor's degree","standard","completed",67,61,68
"315","female","group C","bachelor's degree","standard","completed",59,64,75
"316","male","group C","high school","standard","none",71,66,65
"317","female","group D","master's degree","standard","completed",77,82,91
"318","male","group C","associate's degree","standard","none",83,72,78
"319","male","group B","bachelor's degree","standard","none",63,71,69
"322","female","group E","high school","standard","none",75,86,79
"323","female","group C","some college","standard","none",71,81,80
"326","female","group C","some college","standard","none",82,90,94
"327","male","group C","some college","standard","none",61,61,62
"329","male","group C","associate's degree","standard","completed",82,75,77
"330","female","group B","some high school","standard","none",41,55,51
"331","male","group C","high school","standard","none",71,60,61
"332","male","group C","associate's degree","standard","none",47,37,35
"333","male","group E","associate's degree","standard","completed",62,56,53
"334","male","group B","associate's degree","standard","none",90,78,81
"335","female","group C","bachelor's degree","standard","none",83,93,95
"337","male","group D","some high school","standard","completed",76,70,69
"338","male","group C","associate's degree","standard","none",49,51,43
"342","female","group C","high school","standard","none",61,73,63
"343","female","group B","high school","standard","completed",69,76,74
"344","male","group D","associate's degree","standard","completed",67,72,67
"345","male","group D","some college","standard","none",79,73,67
"346","female","group C","high school","standard","none",72,80,75
"347","male","group B","some college","standard","none",62,61,57
"348","female","group C","bachelor's degree","standard","completed",77,94,95
"350","male","group E","associate's degree","standard","none",87,74,76
"351","female","group B","bachelor's degree","standard","none",52,65,69
"352","male","group E","some college","standard","none",66,57,52
"353","female","group C","some college","standard","completed",63,78,80
"354","female","group C","associate's degree","standard","none",46,58,57
"355","female","group C","some college","standard","none",59,71,70
"356","female","group B","bachelor's degree","standard","none",61,72,70
"357","male","group A","associate's degree","standard","none",63,61,61
"360","female","group D","some college","standard","none",80,90,89
"361","female","group B","high school","standard","none",58,62,59
"362","male","group B","some high school","standard","completed",85,84,78
"363","female","group C","some college","standard","none",52,58,58
"365","male","group C","some college","standard","none",59,60,58
"367","male","group C","high school","standard","completed",69,58,53
"370","female","group D","some high school","standard","none",73,84,85
"371","male","group E","some college","standard","none",84,77,71
"373","male","group D","some high school","standard","none",74,74,72
"374","female","group D","some college","standard","completed",82,97,96
"375","female","group D","bachelor's degree","standard","none",59,70,73
"377","female","group D","some high school","standard","none",80,90,82
"379","female","group A","some high school","standard","none",71,83,77
"380","male","group A","bachelor's degree","standard","none",66,64,62
"381","female","group B","associate's degree","standard","none",80,86,83
"382","male","group C","associate's degree","standard","completed",87,100,95
"386","female","group E","some college","standard","none",67,76,75
"387","female","group E","bachelor's degree","standard","none",64,73,70
"389","female","group D","high school","standard","none",62,64,64
"390","male","group D","master's degree","standard","none",73,70,75
"392","female","group D","some college","standard","none",77,68,77
"393","male","group E","some college","standard","none",76,67,67
"394","male","group C","associate's degree","standard","completed",57,54,56
"395","female","group C","some high school","standard","completed",65,74,77
"398","female","group C","associate's degree","standard","none",85,89,95
"399","male","group B","some high school","standard","none",74,63,57
"400","male","group D","some high school","standard","none",60,59,54
"401","female","group C","some high school","standard","completed",59,54,67
"402","male","group A","some college","standard","none",53,43,43
"404","female","group D","high school","standard","completed",88,99,100
"405","female","group C","high school","standard","none",54,59,62
"406","female","group C","some high school","standard","none",63,73,68
"407","male","group B","associate's degree","standard","completed",65,65,63
"408","female","group B","associate's degree","standard","none",82,80,77
"410","male","group D","associate's degree","standard","completed",87,84,85
"411","female","group D","master's degree","standard","completed",70,71,74
"412","male","group E","some college","standard","completed",84,83,78
"413","male","group D","associate's degree","standard","none",71,66,60
"414","male","group B","some high school","standard","completed",63,67,67
"416","male","group E","high school","standard","none",84,73,69
"417","male","group C","bachelor's degree","standard","completed",71,74,68
"418","male","group C","associate's degree","standard","none",74,73,67
"419","male","group D","some college","standard","none",68,59,62
"422","female","group D","high school","standard","completed",57,58,64
"424","female","group A","some high school","standard","completed",59,85,80
"427","male","group C","bachelor's degree","standard","none",86,83,86
"432","female","group C","high school","standard","none",61,72,70
"433","male","group C","high school","standard","none",61,56,55
"435","male","group C","some high school","standard","none",73,66,66
"437","male","group D","associate's degree","standard","none",75,68,64
"439","male","group C","high school","standard","none",70,56,51
"440","male","group D","some high school","standard","completed",89,88,82
"441","female","group C","some college","standard","completed",67,81,79
"442","female","group D","high school","standard","none",78,81,80
"444","female","group B","associate's degree","standard","none",73,83,76
"446","female","group C","some high school","standard","completed",67,74,77
"448","male","group C","high school","standard","completed",86,81,80
"449","male","group B","high school","standard","none",47,46,42
"450","male","group B","associate's degree","standard","none",81,73,72
"452","female","group E","some college","standard","none",100,92,97
"457","female","group D","bachelor's degree","standard","none",79,89,89
"459","female","group E","bachelor's degree","standard","none",100,100,100
"460","male","group B","high school","standard","completed",72,65,68
"463","female","group E","some college","standard","none",71,70,76
"465","male","group A","bachelor's degree","standard","completed",75,58,62
"466","female","group C","some college","standard","none",84,87,91
"470","male","group C","some college","standard","none",91,74,76
"471","female","group C","associate's degree","standard","completed",83,85,90
"472","female","group C","high school","standard","none",63,69,74
"473","female","group C","associate's degree","standard","completed",68,86,84
"474","female","group D","some high school","standard","none",59,67,61
"475","female","group B","associate's degree","standard","completed",90,90,91
"476","female","group D","bachelor's degree","standard","completed",71,76,83
"477","male","group E","bachelor's degree","standard","completed",76,62,66
